color,duration,gross,movie_title,country,content_rating,title_year,imdb_score,movie_facebook_likes,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
1,178.0,760505847.0,Avatar ,0.7952063914780293,3.0,2009.0,7.9,33000.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,169.0,309404152.0,Pirates of the Caribbean: At World's End ,0.7952063914780293,3.0,2007.0,7.1,17440.130650769996,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,148.0,200074175.0,Spectre ,0.08468708388814913,3.0,2015.0,6.8,85000.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,164.0,448130642.0,The Dark Knight Rises ,0.7952063914780293,3.0,2012.0,8.5,164000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,132.0,73058679.0,John Carter ,0.7952063914780293,3.0,2012.0,6.6,24000.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,156.0,336530303.0,Spider-Man 3 ,0.7952063914780293,3.0,2007.0,6.2,17440.130650769996,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,100.0,200807262.0,Tangled ,0.7952063914780293,2.0,2010.0,7.8,29000.0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
1,141.0,458991599.0,Avengers: Age of Ultron ,0.7952063914780293,3.0,2015.0,7.5,118000.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,153.0,301956980.0,Harry Potter and the Half-Blood Prince ,0.08468708388814913,2.0,2009.0,7.5,10000.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
1,183.0,330249062.0,Batman v Superman: Dawn of Justice ,0.7952063914780293,3.0,2016.0,6.9,197000.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,169.0,200069408.0,Superman Returns ,0.7952063914780293,3.0,2006.0,6.1,17440.130650769996,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,106.0,168368427.0,Quantum of Solace ,0.08468708388814913,3.0,2008.0,6.7,17440.130650769996,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,151.0,423032628.0,Pirates of the Caribbean: Dead Man's Chest ,0.7952063914780293,3.0,2006.0,7.3,5000.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,150.0,89289910.0,The Lone Ranger ,0.7952063914780293,3.0,2013.0,6.5,48000.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,143.0,291021565.0,Man of Steel ,0.7952063914780293,3.0,2013.0,7.2,118000.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,150.0,141614023.0,The Chronicles of Narnia: Prince Caspian ,0.7952063914780293,2.0,2008.0,6.6,17440.130650769996,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,173.0,623279547.0,The Avengers ,0.7952063914780293,3.0,2012.0,8.1,123000.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,136.0,241063875.0,Pirates of the Caribbean: On Stranger Tides ,0.7952063914780293,3.0,2011.0,6.7,58000.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,106.0,179020854.0,Men in Black 3 ,0.7952063914780293,3.0,2012.0,6.8,40000.0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
